id,ime,nabavna_cena,prodajna_cena,država_porekla,dobavitelj,id_izdelka
296,Proteinska ploščica lahko 12 x 1 l,2.44,3.51,Poljska,Okus Narave d.o.o.,3831000001370
297,Proteinska ploščica pakirano 150 g,5.51,7.22,Češka,Pekarna Center,3831000000779
298,Pršut maxi 150 g,2.8,3.42,Madžarska,EuroTrade Foods,3831000004531
299,Puding bio 400 g,6.26,8.04,Slovenija,Okus Narave d.o.o.,3831000001646
300,Puding družinsko 100 g,3.33,4.14,Slovenija,Global Food Partner,3831000003848
301,Puding lahko 1 l,3.12,4.78,Nemčija,BioIzbor d.o.o.,3831000001042
302,Puding tradicionalno 300 g,4.51,5.96,Avstrija,Global Food Partner,3831000002742
303,Puding v prahu družinsko 300 g,2.82,4.43,Belgija,FreshLine Logistics,3831000000670
304,Puranji file izbrano 1 kg,5.61,8.55,Italija,VitaMarket Dobavitelj,3831000003138
305,Puranji file naravno 150 g,5.58,6.97,Nemčija,Alpe Food d.o.o.,3831000001738
306,Puranji file premium 150 g,3.25,5.01,Poljska,Domača Košara,3831000000939
307,Pšenična moka premium 200 g,1.59,2.43,Nemčija,Okus Narave d.o.o.,3831000003961
308,Pšenični gris izbrano 300 g,4.26,5.51,Poljska,Terra Verde,3831000004661
309,Račje prsi bio 100 g,9.58,14.46,Madžarska,Pekarna Center,3831000000038
310,"Račje prsi družinsko 1,5 l",12.18,16.24,Italija,VitaMarket Dobavitelj,3831000003732
311,"Račje prsi lahko 1,5 l",6.97,10.04,Poljska,Panvita Dobava,3831000002131
312,Račje prsi maxi 2 l,3.92,5.44,Madžarska,Panvita Dobava,3831000002537
313,Račje prsi pakirano 250 g,3.14,5.12,Poljska,Terra Verde,3831000001233
314,Račje prsi tradicionalno 12 x 1 l,5.14,6.08,Slovenija,Gorenje Gastro Nabava,3831000002834
315,Redkvice premium 500 g,0.89,1.39,Hrvaška,AgroFresh Slovenija,3831000001127
316,Repično olje bio 500 g,8.51,10.09,Slovenija,Sava Trade Foods,3831000004609
317,Repično olje pakirano 2 l,4.55,6.23,Nemčija,Alpina Delikates,3831000004500
318,Repično olje sveže 2 l,5.18,6.26,Italija,VitaMarket Dobavitelj,3831000004708
319,"Ribani sir izbrano 1,5 l",1.35,2.02,Slovenija,Terra Verde,3831000002940
320,Ribani sir pakirano 250 g,5.83,8.68,Nemčija,Mlečna Pot d.o.o.,3831000004449
321,Ribje palčke ekstra 300 g,3.51,5.44,Hrvaška,Sava Trade Foods,3831000003992
322,Ribje palčke ekstra 750 g,5.33,6.64,Avstrija,FreshLine Logistics,3831000002193
323,Riž domače 1 kg,1.3,1.82,Češka,EuroTrade Foods,3831000004760
324,"Riž domače 1,5 kg",2.91,4.71,Slovenija,VitaMarket Dobavitelj,3831000003169
325,Riž maxi 1 l,4.63,6.67,Poljska,EuroTrade Foods,3831000001868
326,Riž maxi 2 kg,1.44,2.2,Madžarska,Terra Verde,3831000001066
327,Rogljički brez glutena 750 g,2.97,3.73,Italija,Sava Trade Foods,3831000002759
328,Rogljički ekstra 750 g,2.43,2.88,Avstrija,FreshLine Logistics,3831000004654
329,Rogljički mini 2 l,0.71,0.85,Slovenija,FreshLine Logistics,3831000001653
330,Rukola premium 150 g,3.25,5.19,Slovenija,Gorenje Gastro Nabava,3831000002322
331,Rukola sveže 400 g,1.23,1.98,Nizozemska,VitaMarket Dobavitelj,3831000004623
332,Rukola tradicionalno 100 g,2.9,3.95,Madžarska,Pekarna Center,3831000000724
333,"Rženi kruh izbrano 1,5 kg",0.76,1.07,Nemčija,Zlato Polje Distribucija,3831000000250
334,"Rženi kruh klasično 1,5 l",1.74,2.44,Madžarska,Alpe Food d.o.o.,3831000003657
335,"Salama premium 1,5 l",11.46,14.55,Slovenija,Gorenje Gastro Nabava,3831000000632
336,Sezamovo olje tradicionalno 1 l,1.25,1.64,Slovenija,Okus Narave d.o.o.,3831000001707
337,"Sir brie brez glutena 1,5 kg",3.1,4.06,Avstrija,AgroFresh Slovenija,3831000000342
338,Sir brie lahko 12 x 1 l,3.02,4.26,Francija,Okus Narave d.o.o.,3831000004142
339,Sir brie naravno 500 g,4.64,7.39,Hrvaška,Mediteran Import,3831000002247
340,Sir camembert bio 200 g,4.09,6.29,Avstrija,Sava Trade Foods,3831000001240
341,Sir camembert maxi 400 g,1.25,1.68,Nemčija,Zlato Polje Distribucija,3831000002445
342,Sir camembert naravno 150 g,3.6,5.36,Francija,Adria Gastro,3831000003541
343,Sir edamec maxi 300 g,0.54,0.85,Italija,VitaMarket Dobavitelj,3831000001547
344,"Sir ementalec naravno 1,5 l",6.51,9.6,Nizozemska,Sava Trade Foods,3831000001448
345,"Sir gauda naravno 1,5 kg",6.72,9.64,Nizozemska,Zlato Polje Distribucija,3831000001745
346,Sir gauda naravno 400 g,6.33,8.64,Nizozemska,Adria Gastro,3831000004746
347,Sirup bezeg domače 200 g,1.61,2.06,Italija,Mlečna Pot d.o.o.,3831000000489
348,Sirup bezeg mini 2 kg,4.01,6.53,Madžarska,AgroFresh Slovenija,3831000004487
349,Sirup malina bio 200 g,3.47,5.22,Slovenija,EuroTrade Foods,3831000003183
350,Skuta mini 12 x 1 l,2.93,4.72,Italija,Mediteran Import,3831000000144
351,Skuta sveže 200 g,6.37,9.6,Avstrija,EuroTrade Foods,3831000003046
352,Sladka smetana izbrano 2 l,6.28,10.34,Nizozemska,Mediteran Import,3831000004241
353,Sladka smetana sveže 12 x 1 l,0.57,0.82,Nemčija,Okus Narave d.o.o.,3831000002643
354,Sladka smetana tradicionalno 200 g,5.06,7.79,Nemčija,Panvita Dobava,3831000002841
355,"Sladkor bio 1,5 l",3.97,5.01,Nemčija,Zlato Polje Distribucija,3831000004869
356,Sladkor domače 200 g,3.68,4.99,Italija,AgroFresh Slovenija,3831000004265
357,Sladkor klasično 1 kg,1.69,2.5,Italija,Jadran Export,3831000004463
358,Sladkor premium 1 kg,1.66,2.38,Češka,Okus Narave d.o.o.,3831000001660
359,Sladkor premium 12 x 1 l,2.24,2.99,Italija,Zlato Polje Distribucija,3831000001264
360,Sladoled vanilija domače 750 g,5.53,7.52,Poljska,Pekarna Center,3831000001493
361,Sladoled vanilija ekstra 150 g,3.53,5.73,Avstrija,AgroFresh Slovenija,3831000002698
362,Sladoled vanilija pakirano 1 kg,7.7,11.53,Slovenija,Pekarna Center,3831000004593
363,"Sladoled čokolada brez glutena 6 x 0,5 l",8.12,12.85,Slovenija,BioIzbor d.o.o.,3831000001691
364,Sladoled čokolada mini 150 g,5.69,8.86,Španija,Alpe Food d.o.o.,3831000004890
365,Slanina bio 2 l,4.28,6.44,Avstrija,FreshLine Logistics,3831000004333
366,Slanina lahko 1 l,3,4.34,Slovenija,Alpina Delikates,3831000003237
367,Slive bio 100 g,0.82,1.25,Kolumbija,Alpina Delikates,3831000001011
368,"Slive družinsko 1,5 kg",1.66,2.2,Turčija,Mlečna Pot d.o.o.,3831000004517
369,"Slive ekstra 1,5 l",3.74,4.66,Italija,Jadran Export,3831000003718
370,"Smetanov namaz sveže 1,5 kg",1.45,2.29,Italija,EuroTrade Foods,3831000003244
371,"Smetanov namaz sveže 1,5 l",3.09,4.14,Nemčija,FreshLine Logistics,3831000001943
372,"Sojina omaka naravno 1,5 kg",1.35,1.7,Španija,Domača Košara,3831000001202
373,Sojina omaka sveže 200 g,1.84,2.43,Avstrija,AgroFresh Slovenija,3831000002704
374,Sojina omaka tradicionalno 12 x 1 l,9.5,12.53,Francija,Adria Gastro,3831000001608
375,Sol izbrano 200 g,1.31,1.62,Madžarska,EuroTrade Foods,3831000004562
376,Sol klasično 2 l,4.69,5.7,Poljska,AgroFresh Slovenija,3831000002667
377,Sol pakirano 250 g,1.91,2.52,Francija,Mediteran Import,3831000001363
378,Solata bio 12 x 1 l,2.23,3.44,Avstrija,Zlato Polje Distribucija,3831000004920
379,Solata lahko 12 x 1 l,1.9,2.78,Madžarska,Adria Gastro,3831000001226
380,Solata tradicionalno 150 g,2.78,4.38,Slovenija,Pekarna Center,3831000000120
381,Solatni preliv naravno 1 kg,7.76,10.02,Francija,Terra Verde,3831000004203
382,"Sončnično olje domače 1,5 kg",7.75,12.23,Francija,BioIzbor d.o.o.,3831000005002
383,Svinjska rebra maxi 2 kg,10.38,14.73,Slovenija,Mlečna Pot d.o.o.,3831000002636
384,Svinjski kotleti bio 300 g,5.96,9.65,Poljska,Panvita Dobava,3831000000533
385,Svinjski kotleti mini 250 g,11.39,18.05,Slovenija,Gorenje Gastro Nabava,3831000000731
386,Svinjski kotleti sveže 200 g,8.84,11.46,Nemčija,Domača Košara,3831000004432
387,Tartar omaka brez glutena 1 l,3.51,4.74,Grčija,Okus Narave d.o.o.,3831000003503
388,Tartar omaka domače 750 g,3.52,4.78,Francija,Adria Gastro,3831000002209
389,Tartar omaka izbrano 1 l,5.07,7.84,Španija,Terra Verde,3831000004906
390,"Tartar omaka mini 1,5 kg",5.21,6.24,Avstrija,Terra Verde,3831000001400
391,"Telečji zrezki domače 1,5 kg",2.99,4.71,Slovenija,Jadran Export,3831000002230
392,"Telečji zrezki izbrano 1,5 l",8.69,11.02,Italija,Gorenje Gastro Nabava,3831000004036
393,Telečji zrezki premium 2 l,8.45,13.11,Avstrija,Jadran Export,3831000001134
394,"Temna čokolada klasično 6 x 0,5 l",1.75,2.24,Slovenija,Mediteran Import,3831000003374
395,Testenine lahko 2 l,2.8,3.38,Francija,FreshLine Logistics,3831000003268
396,"Testenine naravno 6 x 0,5 l",1.39,1.81,Poljska,Mlečna Pot d.o.o.,3831000000861
397,Toast pakirano 100 g,1.55,1.89,Italija,BioIzbor d.o.o.,3831000003459
398,Tonic družinsko 250 g,4.54,7.16,Slovenija,Okus Narave d.o.o.,3831000004289
399,Tonic naravno 100 g,5.1,6.59,Hrvaška,Pekarna Center,3831000001387
400,Topljeni sir naravno 12 x 1 l,6.67,8.63,Hrvaška,Mediteran Import,3831000001349
401,"Tortelini bio 1,5 l",7.35,11.19,Slovenija,Mlečna Pot d.o.o.,3831000004692
402,Tortelini domače 750 g,6.3,10.3,Nemčija,Jadran Export,3831000004791
403,Tortelini maxi 2 kg,7.88,12.43,Avstrija,Panvita Dobava,3831000004999
404,Tortilje bio 100 g,1.68,2.21,Italija,Jadran Export,3831000002858
405,Tortilje ekstra 2 kg,4.01,5,Nemčija,Okus Narave d.o.o.,3831000002551
406,"Tortilje sveže 1,5 kg",3.66,4.79,Italija,Adria Gastro,3831000001356
407,Vaflji ekstra 2 l,5.68,8.63,Belgija,Domača Košara,3831000001875
408,Worcester omaka domače 150 g,1.85,2.77,Avstrija,Mlečna Pot d.o.o.,3831000000908
409,Worcester omaka ekstra 2 kg,4.28,6.29,Francija,FreshLine Logistics,3831000002902
410,Worcester omaka izbrano 400 g,8.56,10.15,Grčija,Global Food Partner,3831000003800
411,Zamrznjen grah domače 400 g,1.02,1.3,Italija,Global Food Partner,3831000003695
412,Zamrznjen grah lahko 300 g,6.2,7.68,Španija,Sava Trade Foods,3831000001097
413,Zamrznjen grah pakirano 2 l,2.27,2.82,Poljska,Gorenje Gastro Nabava,3831000003299
414,"Zamrznjen kruh družinsko 1,5 l",3.46,4.89,Avstrija,Zlato Polje Distribucija,3831000000991
415,"Zamrznjen kruh izbrano 6 x 0,5 l",6.08,9.69,Poljska,Domača Košara,3831000002094
416,"Zamrznjen kruh premium 1,5 kg",3.28,4.24,Slovenija,Zlato Polje Distribucija,3831000004098
417,Zamrznjen kruh sveže 2 kg,6.08,8.75,Poljska,Okus Narave d.o.o.,3831000003893
418,Zamrznjen kruh sveže 500 g,7.84,9.9,Španija,Zlato Polje Distribucija,3831000003091
419,Zamrznjena juha bio 400 g,1.33,1.93,Hrvaška,Jadran Export,3831000000397
420,Zamrznjena juha naravno 250 g,6.07,7.49,Hrvaška,VitaMarket Dobavitelj,3831000000199
421,"Zamrznjena juha premium 1,5 kg",2.05,2.79,Italija,Mlečna Pot d.o.o.,3831000000793
422,Zamrznjena juha tradicionalno 1 l,4.93,7.93,Španija,Zlato Polje Distribucija,3831000001592
423,Zamrznjena pica družinsko 750 g,1,1.28,Slovenija,Global Food Partner,3831000004494
424,"Zamrznjena pica mini 6 x 0,5 l",4.04,5.12,Avstrija,Domača Košara,3831000001295
425,Zamrznjena pica premium 500 g,2.64,4.24,Španija,Adria Gastro,3831000000298
426,"Zamrznjena pica sveže 6 x 0,5 l",3.74,5.5,Poljska,Domača Košara,3831000003596
427,Zamrznjena zelenjava izbrano 500 g,6.63,10.78,Italija,Alpe Food d.o.o.,3831000000892
428,Zamrznjena zelenjava naravno 150 g,7.49,10.18,Nemčija,BioIzbor d.o.o.,3831000000090
429,Zamrznjena špinača družinsko 250 g,5.7,8.27,Poljska,Mediteran Import,3831000002391
430,Zamrznjena špinača izbrano 2 kg,5.91,7.76,Poljska,Domača Košara,3831000000694
431,"Zamrznjena špinača lahko 6 x 0,5 l",2.03,3.25,Italija,Adria Gastro,3831000002896
432,Zamrznjene jagode bio 100 g,3.93,5.15,Slovenija,VitaMarket Dobavitelj,3831000000595
433,Zamrznjene jagode maxi 100 g,3.91,5.05,Avstrija,FreshLine Logistics,3831000003497
434,Zamrznjene jagode naravno 1 kg,3.56,5.13,Slovenija,VitaMarket Dobavitelj,3831000001899
435,Zamrznjene jagode premium 250 g,6.49,9.18,Nemčija,Alpina Delikates,3831000002599
436,Zamrznjene maline izbrano 100 g,4.13,5.93,Poljska,Mediteran Import,3831000001196
437,Zamrznjene maline lahko 12 x 1 l,2.81,4.52,Slovenija,AgroFresh Slovenija,3831000000496
438,Zamrznjene maline premium 1 l,4.22,5.77,Nemčija,Global Food Partner,3831000002490
439,Zamrznjeni cmoki klasično 1 kg,1.1,1.48,Slovenija,Domača Košara,3831000003794
440,Zamrznjeni cmoki klasično 2 kg,7.11,11.07,Italija,VitaMarket Dobavitelj,3831000002292
441,Zamrznjeni lignji bio 400 g,6.56,9.92,Španija,Global Food Partner,3831000001394
442,Zamrznjeni rogljički brez glutena 100 g,8.18,10.73,Avstrija,Pekarna Center,3831000002995
443,Zamrznjeni rogljički izbrano 400 g,2.7,4.3,Poljska,Jadran Export,3831000003398
444,Zamrznjeni rogljički klasično 150 g,8.22,13.19,Španija,Adria Gastro,3831000002797
445,Zamrznjeno pecivo pakirano 2 kg,3.98,5.64,Poljska,FreshLine Logistics,3831000003190
446,Zdrob maxi 300 g,3.6,5.92,Slovenija,Alpina Delikates,3831000000465
447,Zeleni čaj družinsko 2 kg,4.27,6.46,Italija,Domača Košara,3831000004081
448,Zeleni čaj lahko 1 l,0.48,0.76,Avstrija,BioIzbor d.o.o.,3831000004586
449,Zelje ekstra 1 kg,0.63,0.94,Hrvaška,Okus Narave d.o.o.,3831000002520
450,Zelje lahko 250 g,2.31,2.83,Italija,Okus Narave d.o.o.,3831000001325
451,Zelje premium 250 g,3.65,5.29,Madžarska,Global Food Partner,3831000000922
452,Čebula brez glutena 12 x 1 l,2.42,3.46,Madžarska,Alpina Delikates,3831000003923
453,Čebula družinsko 1 kg,2.14,3.17,Madžarska,AgroFresh Slovenija,3831000004722
454,Čebula družinsko 2 l,0.46,0.56,Avstrija,Jadran Export,3831000000021
455,Čebula izbrano 400 g,2.72,4.12,Hrvaška,FreshLine Logistics,3831000002629
456,"Čebula tradicionalno 1,5 kg",2.29,3.6,Španija,Gorenje Gastro Nabava,3831000000526
457,Česen domače 1 kg,2.44,3.32,Madžarska,Adria Gastro,3831000004425
458,Česen družinsko 2 l,1.58,2.45,Madžarska,Domača Košara,3831000000625
459,"Česen mini 6 x 0,5 l",0.41,0.66,Španija,Okus Narave d.o.o.,3831000004326
460,Česen premium 2 l,1.61,2.21,Slovenija,EuroTrade Foods,3831000000328
461,Čevapčiči brez glutena 2 l,7.68,12.03,Avstrija,Okus Narave d.o.o.,3831000003336
462,Čevapčiči maxi 750 g,5.77,8.01,Hrvaška,Sava Trade Foods,3831000003039
463,Čevapčiči pakirano 200 g,12.01,17.08,Italija,EuroTrade Foods,3831000004234
464,"Čevapčiči premium 1,5 l",2.41,3.21,Poljska,Domača Košara,3831000002032
465,"Čevapčiči sveže 1,5 l",9.33,12.35,Nemčija,BioIzbor d.o.o.,3831000001035
466,"Čevapčiči sveže 1,5 l - serija 62",3.3,4.49,Hrvaška,Terra Verde,3831000001530
467,Češnje družinsko 12 x 1 l,1.51,2.12,Ekvador,Mlečna Pot d.o.o.,3831000000311
468,Češnje ekstra 12 x 1 l,3.53,4.66,Slovenija,BioIzbor d.o.o.,3831000002919
469,Češnje naravno 12 x 1 l,3.88,6.21,Slovenija,Panvita Dobava,3831000004319
470,Češnje tradicionalno 300 g,2.36,3.3,Hrvaška,Global Food Partner,3831000001219
471,Čili omaka brez glutena 1 kg,4.69,7.07,Španija,AgroFresh Slovenija,3831000004005
472,"Čili omaka maxi 1,5 kg",5.35,7.36,Italija,Terra Verde,3831000004104
473,"Čili omaka mini 1,5 l",6.88,10.85,Španija,Alpe Food d.o.o.,3831000000601
474,"Čili omaka tradicionalno 1,5 l",4.78,7.7,Grčija,Global Food Partner,3831000003305
475,Čičerika bio 2 kg,1.82,2.26,Češka,Jadran Export,3831000001769
476,Čičerika izbrano 2 kg,0.84,1.24,Nemčija,BioIzbor d.o.o.,3831000002063
477,Čičerika klasično 300 g,3.31,4.2,Češka,Zlato Polje Distribucija,3831000000663
478,Čokolada z lešniki klasično 1 l,5.23,7,Švica,Mediteran Import,3831000002872
479,Čokolada z lešniki maxi 750 g,3.25,5.02,Avstrija,Okus Narave d.o.o.,3831000001776
480,Čokolada z lešniki tradicionalno 500 g,2.22,3.08,Švica,Mediteran Import,3831000001578
481,Čokolada z lešniki tradicionalno 500 g - serija 30,1.61,2.56,Češka,VitaMarket Dobavitelj,3831000003671
482,"Čokoladni namaz domače 1,5 l",6.31,8.31,Češka,Terra Verde,3831000003879
483,"Čokoladni namaz družinsko 1,5 l",4.09,5.95,Švica,BioIzbor d.o.o.,3831000004074
484,Čokoladni namaz ekstra 1 kg,0.87,1.41,Češka,BioIzbor d.o.o.,3831000003770
485,Čokoladni namaz klasično 12 x 1 l,2.09,3.39,Slovenija,Okus Narave d.o.o.,3831000001271
486,Čokoladni pralineji izbrano 100 g,4.84,6.95,Italija,Mediteran Import,3831000004678
487,Čokoladni pralineji lahko 1 kg,3.85,5.03,Švica,Alpina Delikates,3831000004173
488,Čokoladni pralineji premium 500 g,5.64,7.06,Nemčija,Gorenje Gastro Nabava,3831000000175
489,Črni čaj družinsko 2 l,4.9,6.43,Češka,BioIzbor d.o.o.,3831000001684
490,Črni čaj klasično 12 x 1 l,0.5,0.66,Avstrija,Gorenje Gastro Nabava,3831000004883
491,Špageti maxi 1 l,1.32,2,Francija,Zlato Polje Distribucija,3831000003565
492,Špageti premium 12 x 1 l,4.8,7.12,Poljska,Terra Verde,3831000003664
493,"Špinača lahko 1,5 kg",2.93,3.76,Slovenija,Alpe Food d.o.o.,3831000003329
494,Špinača naravno 1 l,3.74,5.83,Hrvaška,Panvita Dobava,3831000003022
495,Šunka izbrano 200 g,5.69,8.57,Italija,AgroFresh Slovenija,3831000001431
496,Šunka pakirano 150 g,9.63,14,Avstrija,Jadran Export,3831000002933
497,Šunka sveže 150 g,5.3,8.02,Poljska,Okus Narave d.o.o.,3831000003435
498,Žemlje bio 300 g,3.87,5.43,Avstrija,Sava Trade Foods,3831000002353
499,"Žemlje sveže 1,5 kg",3.06,4.8,Madžarska,Global Food Partner,3831000004258
500,"Žvečilni gumi lahko 6 x 0,5 l",0.36,0.54,Avstrija,Gorenje Gastro Nabava,3831000004371
